size,decay,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
9,1.0,0.9828,0.9657,0.9520,0.006435,0.02775,0.02180
9,0.5,0.9817,0.9722,0.9558,0.007875,0.01955,0.02346
9,0.1,0.9813,0.9662,0.9577,0.009700,0.02632,0.01751
5,1.0,0.9811,0.9730,0.9590,0.010503,0.02744,0.01283
5,0.1,0.9809,0.9672,0.9572,0.007021,0.03478,0.01664
3,1.0,0.9806,0.9763,0.9573,0.009038,0.01514,0.01617
5,0.5,0.9805,0.9723,0.9563,0.008071,0.01513,0.01916
3,0.5,0.9799,0.9718,0.9557,0.011184,0.03382,0.02277
3,0.1,0.9767,0.9688,0.9585,0.011653,0.02243,0.01815
1,1.0,0.9734,0.9720,0.9608,0.015267,0.02416,0.01486
1,0.1,0.9521,0.9688,0.9285,0.087391,0.02377,0.17608
9,0.0,0.9344,0.8832,0.9705,0.038243,0.07678,0.02433
1,0.5,0.9284,0.9467,0.8995,0.145434,0.17935,0.24496
5,0.0,0.9078,0.8325,0.9698,0.090346,0.18573,0.03001
3,0.0,0.8640,0.7768,0.9455,0.133874,0.24065,0.17984
1,0.0,0.6130,0.4775,0.7483,0.159445,0.43427,0.42665
