C,sigma,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2.0,0.2,0.9922,0.9565,0.9602,0.003650,0.01801,0.012763
1.0,0.2,0.9916,0.9532,0.9600,0.003775,0.01719,0.013646
0.5,0.2,0.9905,0.9478,0.9583,0.004000,0.01827,0.014223
2.0,0.5,0.9897,0.9368,0.9630,0.004239,0.02230,0.013104
1.0,0.5,0.9896,0.9333,0.9660,0.004439,0.02202,0.013025
0.5,0.5,0.9885,0.9282,0.9690,0.004755,0.02152,0.013091
1.0,1.0,0.9869,0.9088,0.9713,0.005000,0.02511,0.012521
2.0,1.0,0.9869,0.9107,0.9667,0.004660,0.02645,0.013412
0.5,1.0,0.9859,0.9040,0.9727,0.005585,0.02321,0.010317
2.0,1.5,0.9847,0.8850,0.9742,0.005406,0.02338,0.010992
1.0,1.5,0.9844,0.8828,0.9762,0.005580,0.02258,0.010560
0.5,1.5,0.9838,0.8792,0.9772,0.006253,0.02166,0.010642
1.0,2.0,0.9827,0.8637,0.9805,0.006069,0.02392,0.010030
2.0,2.0,0.9826,0.8657,0.9785,0.006263,0.02388,0.010013
0.5,2.0,0.9820,0.8607,0.9820,0.006815,0.02490,0.009523
0.5,5.0,0.9769,0.7430,0.9948,0.008287,0.02938,0.006757
1.0,5.0,0.9769,0.7462,0.9943,0.008183,0.03161,0.006915
2.0,5.0,0.9765,0.7547,0.9925,0.008334,0.03023,0.007041
