bamId,nscGainPercent,rscGainPercent
ENCFF693OEL,0.0511729227589,23.1379912462
ENCFF898NMW,0.151149086909,4.88870938891
ENCFF772VSQ,1.16635030427,1.08101212699
ENCFF342CGZ,0.741187681966,0.903599243957
ENCFF900RPG,-0.314796925644,46.3636553456
ENCFF262DXP,1.30386472007,0.435195484695
ENCFF873CGO,0.833536076429,1.08200200004
ENCFF086MAL,1.40219086177,0.699276547735
ENCFF839ARD,-0.0772118874484,17.4776873725
ENCFF616RGW,0.633421700381,2.99107726735
ENCFF822ESO,3.59359044451,8.4229065238
ENCFF000PGN,2.4502064293,0.435498740217
ENCFF619FIE,1.1589026846,4.74096769859
ENCFF221QCF,0.35315195395,6.04814464107
ENCFF706HJC,-0.0832486597523,28.1923340328
ENCFF519TWC,0.199994074692,31.6844380702
ENCFF616NXH,-0.140670456603,48.9024442801
ENCFF155YHS,2.76721716498,6.01431761743
ENCFF629GVZ,-0.223479100686,48.4720953881
ENCFF921UWK,0.317618994076,6.59734948961
ENCFF211TQG,2.47459969553,25.7937359704
ENCFF000PGO,0.786148197417,0.892377669134
ENCFF046FAF,4.44585995854,8.53786837286
ENCFF807KJE,0.353964223479,4.12125219338
ENCFF817LMJ,0.287329261386,21.5159145432
ENCFF524GMH,0.33044702514,2.5226212471
ENCFF793MBH,0.313831804416,4.26743074901
ENCFF248JTU,0.277339150264,1.93192686316
ENCFF852FET,0.267329833836,5.95255247152
ENCFF559SXA,0.190813258518,6.49474968843
