ID,unfilteredNSC,unfilteredRSC,filteredNSC,filteredRSC,RSC Diff,NSC Diff
ENCFF000PGN,2.14403589529443,1.15261546328468,2.19656920064744,1.15763508910683,0.00501962582215,0.05253330535301
ENCFF086MAL,1.55561724715369,2.19055103757276,1.57742997003733,2.20586904724467,0.01531800967191,0.02181272288364
ENCFF221QCF,1.1456643723164,1.77922111978177,1.14971030843294,1.88683098659065,0.10760986680888,0.00404593611654
ENCFF262DXP,1.51918304873508,2.18750957178827,1.53899114054084,2.19702951467196,0.00951994288369,0.01980809180576
ENCFF280WMP,1.16341197193748,0.887369117599668,1.15845760324325,1.16258334257171,0.275214224972042,-0.00495436869423
ENCFF342CGZ,1.25865712370162,1.8695591929418,1.26798613526069,1.88645251567456,0.01689332273276,0.00932901155907
ENCFF616RGW,1.24475662440297,1.57188739356654,1.25264118297887,1.61890376006379,0.04701636649725,0.0078845585759
ENCFF619FIE,1.41157399973441,1.71964075153533,1.4279327687124,1.80116836409749,0.08152761256216,0.01635876897799
ENCFF693OEL,1.12067975599513,0.934630323456034,1.12125324058104,1.15088500588201,0.216254682425976,0.00057348458591
ENCFF706HJC,1.05686386890463,0.668904223701162,1.05598404389836,0.857483936806612,0.18857971310545,-0.00087982500627
ENCFF772VSQ,1.40969781970524,1.9931594341431,1.42613983451469,2.01470572933645,0.02154629519335,0.01644201480945
ENCFF822ESO,1.66951040839907,2.18246836298717,1.72950577490534,2.36629563311299,0.18382727012582,0.05999536650627
ENCFF839ARD,1.05255891085748,0.945999248968668,1.0517462102559,1.11133804024923,0.165338791280562,-0.00081270060158
ENCFF873CGO,1.26063527297411,2.12250299738762,1.27114312276654,2.1454685222703,0.02296552488268,0.01050784979243
ENCFF898NMW,1.17137764762173,2.25601381211131,1.17314817424037,2.36630377115908,0.11028995904777,0.00177052661864
ENCFF900RPG,1.05247346488639,0.708382912539666,1.04916031077571,1.03681512463661,0.328432212096944,-0.00331315411068
Average,1.32729358953874,1.57315093521035,1.34048743886198,1.68536052396718,0.112209588756837,0.013193849323241
Variance,0.083598452392881,0.349321851041951,0.093820253326435,0.276804088103728,0.010656070291017,0.000353097091853
